Account: Micro Region,Account: Billing Country,Workload Progress,Primary Workload Pillar,Key Workload Products,Solutions,Account: Account Name,Account: Account Owner,Account: Product Area,Workload: Workload Name,Primary CE Technical Owner,Workload Gross Annual Recurring Revenue (converted),Implementation Lead,Partner,Workload End Date,PSF Investment,PSF Status,PSF Type,Opportunity,Tiene Gemini Enterprise en ell Workload,Tiene Gemini Enterprise en la Oportunidad?,Aparently is GE
EDU PS,Mexico,3:  Proposal / Negotiation,Build with AI,,,Universidad de Monterrey,Lauro Garcia,,Universidad de Monterrey IA Lab 35k (1Y ACV) STD OPP,Marco Corral,"USD 35,000",Partner,,,go/psf-request,psf-request,,Universidad de Monterrey IA Lab 35k (1Y ACV) STD OPP,FALSE,FALSE,
Media & Telco,Brazil,3:  Proposal / Negotiation,Build with AI,,,Globo Comunicacao e Participacoes SA,Felipe Paranhos,,Globo - GenAI Creative Studio,,USD 1,Customer,,,go/psf-request,psf-request,,Globo - GenAI Creative Studio,FALSE,FALSE,
MCO CORP NORTE,Colombia,0-2: Tech Eval/Solution Dev,,,,chiper,Santiago Guerrero,,Chiper-Quota Increase,,USD 0,Unknown,,,go/psf-request,psf-request,,,FALSE,FALSE,
Large Accounts,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Search; Gemini AI,,Bradesco,Fernando Matere,,Bradesco - Gemini Enterprise - Full Organization,Gabriel Gonzaga Ferreira de Magalhães,"USD 6,225,000",Partner,PWC STRATEGY& DO BRASIL CONSULTORIA EMPRESARIAL LTDA,,go/psf-request,psf-request,,Bradesco - Gemini Enterprise Growth,TRUE,TRUE,Gemini enterprise
EDU PS,Colombia,0-2: Tech Eval/Solution Dev,Build with AI,,,UNIVERSIDAD EAFIT,Lauro Garcia,,UNIVERSIDAD EAFIT IA para Lenguas 43k,Marco Corral,"USD 43,000",Partner,,,go/psf-request,psf-request,,UNIVERSIDAD EAFIT IA para Lenguas 43k #SalesCreditPOC,FALSE,FALSE,
EDU PS,Mexico,0-2: Tech Eval/Solution Dev,,,,Universidad Anahuac Centro,Lauro Garcia,,Anahuac Labs Intro GCP 100k (1Y ACV) STD OPP,,"USD 100,000",Partner,,,go/psf-request,psf-request,,Anahuac Labs Intro GCP 100k (1Y ACV) STD OPP,FALSE,FALSE,
MCO CORP CCA,Guatemala,3:  Proposal / Negotiation,Build with AI,,,Banco de los Trabajadores,Daniel Cornejo,,Agente para recomendacion de productos,Anita del Pilar Quevedo,"USD 43,000",Partner,CoreBI SAS,,go/psf-request,psf-request,,CE25 BANTRAB AGENTES,FALSE,FALSE,
Large Accounts,Brazil,3:  Proposal / Negotiation,Build with AI,Cloud AI - Vertex AI Platform; Cloud AI - Vertex AI Search; Gemini AI,,Banco BV S.A.,Pedro Britto,,BV - Agentificação de Processos,Gabriel Gonzaga Ferreira de Magalhães,"USD 960,000",Partner,ACCENTURE DO BRASIL LTDA,,go/psf-request,psf-request,,BV - Agentificação de Processos,FALSE,FALSE,
MX DN,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,ARTIFICIAL NERDS SAPI DE CV,Luis Cabrera,,Nerd.ai - GE,,"USD 15,000",Customer,,,go/psf-request,psf-request,,Nerd.ai - GE,TRUE,TRUE,Gemini enterprise
Multi Industry,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,Embraer S/A,Alex Scoralick,,Gemini Enterprise,,"USD 180,000",Customer,,,go/psf-request,psf-request,,[Embraer] Agent Space #Implementation,TRUE,FALSE,Gemini enterprise
MX DN,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,CXC Financiamiento,Luis Cabrera,,CxC - DA,,"USD 30,000",Customer,,,go/psf-request,psf-request,,CxC - DA,FALSE,FALSE,
MX Multi-industry & Monterrey,Mexico,3:  Proposal / Negotiation,Build with AI,Cloud AI - Vertex AI Platform,,"Bankaool, S.A., Institución de Banca Multiple",Eduardo Bello,,AI (Gemini Ent - Vertex),Yerish Alejandro Blancarte,"USD 350,000",Unknown,SITINFORMACION S.A de C.V,3/31/2027,go/psf-request,psf-request,,Bankaool | Commit | Servinformación | México,FALSE,FALSE,
MX Multi-industry & Monterrey,Mexico,0-2: Tech Eval/Solution Dev,,,,"Becle, S.A.B. de C.V.",Ana Schultz,,GenAI Boost for SAP,,"USD 20,000",Partner,,,go/psf-request,psf-request,,"THINKCARE TECHNOLOGIES GLOBAL SERVICES / $1,974,720.00 TCV / 3 Yrs",FALSE,FALSE,
Argentina,Uruguay,3:  Proposal / Negotiation,Build with AI,,,Meli Uruguay SRL,Vanesa Trezza,,Provisioned Throughput [D] #AP26,Claudio Gotusso,"USD 2,000,000",Customer,,,go/psf-request,psf-request,,,FALSE,FALSE,
"MX FSI, Services & WR",Mexico,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Platform,,"Corporación Actinver, S.A.B. de C.V.",Angélica Moya,,Actinver - Vertex AI Model Garden - #Gemini Agentic Fabric [F],Alfredo Lozano,"USD 150,000",Customer,,,go/psf-request,psf-request,,Actinver - Vertex AI Model Garden - #Gemini AF [F],FALSE,FALSE,
Colombia,Colombia,0-2: Tech Eval/Solution Dev,Build with AI,,,COMPANIA DE SEGUROS BOLIVAR S A,Filipa Amaro,,Seguros Bolivar - Mesa Documental,Carlos Peña,"USD 100,000",Customer,,,go/psf-request,psf-request,,SEGUROS BOLIVAR - MESA DOCUMENTAL - 100K ACV,FALSE,FALSE,
MX Multi-industry & Monterrey,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A.P.I. DE C.V.,Edgar Larios,,Farmacias del Ahorro - Vertex AI Search - #Gemini Enterprise | Phase 2 [F],,"USD 2,202,720",Customer,,,go/psf-request,psf-request,,Farmacias del Ahorro - Vertex AI Search - #Gemini Enterprise | Phase 2 [F],TRUE,TRUE,Gemini enterprise
"MX FSI, Services & WR",Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,"Corporación Actinver, S.A.B. de C.V.",Angélica Moya,,Actinver - Customer Engagement Suite - #Conversational Agents [F],,"USD 100,000",Customer,,,go/psf-request,psf-request,,Actinver - Customer Engagement Suite - #Conversational Agents [F],FALSE,FALSE,
"MX FSI, Services & WR",Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,"Corporación Actinver, S.A.B. de C.V.",Angélica Moya,,Actinver - Vertex AI Search - #Gemini Enterprise [F],,"USD 540,000",Customer,,,go/psf-request,psf-request,,Actinver - Vertex AI Search - #Gemini Enterprise [F],TRUE,TRUE,Gemini enterprise
"MX FSI, Services & WR",Mexico,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Model Garden,,"Aerovías de México, S.A. de C.V.",Marisol Escribá,,Aeromexico - Vertex AI Model Garden - #GenMedia [,,"USD 200,000",Customer,,8/3/2026,go/psf-request,psf-request,,Aeromexico - Vertex AI Model Garden - #GenMedia [F],FALSE,FALSE,
MX Large Accounts,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Search,,"Grupo Financiero Banorte, S.A.B. de C.V.",Ricardo Medina,,[BANCO] [VC] [AI] Vertex AI Search - #Search [F],,"USD 100,000",Customer,,,go/psf-request,psf-request,,Banorte - Vertex AI Search - #Search [F],FALSE,FALSE,
MX Large Accounts,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,"Tiendas Chedraui, S.A. de C.V.",Luis Hernandez,,Chedraui - Vertex AI Search - #Search for Commerce [F],,"USD 325,000",Partner,"Grid Dynamics Holdings, Inc.",,go/psf-request,psf-request,,Chedraui - Vertex AI Search - #Search for Commerce [F],FALSE,FALSE,
MX Multi-industry & Monterrey,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,"Ganaderos Productores de Leche Pura, S.A.P.I. de C.V. (ALPURA)",Ana Schultz,,Alpura - Vertex AI Model Garden - #Gemini [F],,"USD 100,000",Customer,,,go/psf-request,psf-request,,Alpura - Vertex AI Model Garden - #Gemini [F],FALSE,FALSE,
MX Large Accounts,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,Liverpool,Javier Camacho,,Liverpool - Vertex AI Model Garden - #Gemini Agentic Fabric [F],,"USD 500,000",Customer,,,go/psf-request,psf-request,,Liverpool - Scale AI Apps and Agents - #1P FM: Gemini | Agentic Fabric [F],FALSE,FALSE,
"MX FSI, Services & WR",Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,Alsea S.A.B. de C.V.,Marisol Escribá,,Alsea - Vertex AI Model Garden - #GenMedia [F],,"USD 200,000",Customer,,9/27/2026,go/psf-request,psf-request,,Alsea - Vertex AI Model Garden - #GenMedia [F],FALSE,FALSE,
"MX FSI, Services & WR",Mexico,3:  Proposal / Negotiation,Build with AI,,,Alsea S.A.B. de C.V.,Marisol Escribá,,Alsea - Vertex AI Search - #Gemini Enterprise [F],,"USD 100,000",Customer,,10/16/2026,go/psf-request,psf-request,,Alsea - Vertex AI Search - #Gemini Enterprise [F],TRUE,TRUE,Gemini enterprise
"MX FSI, Services & WR",Mexico,3:  Proposal / Negotiation,Build with AI,,,"Grupo Bafar, S.A.B. de C.V.",Vane Colin,,Bafar - Vertex AI Model Garden - #GenMedia [F],Siahara Alvarez,"USD 70,000",Customer,,,go/psf-request,psf-request,,Bafar - Vertex AI Search - #Gemini Enterprise Phase 1 [F],FALSE,TRUE,Gemini enterprise
MX Large Accounts,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,"Grupo Comercial Chedraui, S.A.B. de C.V.",Luis Hernandez,,Chedraui - Vertex AI Search - #Gemini Enterprise [F],,"USD 600,000",Unknown,,,go/psf-request,psf-request,,Chedraui - AWT - #Gemini Enterprise,TRUE,TRUE,Gemini enterprise
MX Multi-industry & Monterrey,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,"Becle, S.A.B. de C.V.",Ana Schultz,,Becle - Vertex AI Model Garden - #Gemini AF [F],,"USD 100,000",Customer,,,go/psf-request,psf-request,,Becle - Vertex AI Model Garden - #Gemini AF [F],FALSE,FALSE,
MX Large Accounts,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,"Grupo México, S.A.B. de C.V.",Manuel Rivas,,Grupo México - Vertex AI Search - #Gemini Enterprise [F],Abelardo Colunga,"USD 300,000",Partner,INSAITE,,go/psf-request,psf-request,,Grupo México - AWT - #Gemini Enterprise,TRUE,TRUE,Gemini enterprise
MX Multi-industry & Monterrey,Saudi Arabia,0-2: Tech Eval/Solution Dev,Build with AI,,,Bimbonet Servicios SAPI de CV,Ana Schultz,,Bimbonet - Vertex AI Search - #Gemini Enterprise [F],,"USD 600,000",Customer,,,go/psf-request,psf-request,,Bimbonet - Vertex AI Search - #Gemini Enterprise [F],TRUE,TRUE,Gemini enterprise
MX DN,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,Broxel,Edgar Torres,,Broxel - Vertex AI Model Garden - #Gemini AF [F],,"USD 100,000",Customer,,,go/psf-request,psf-request,,Broxel - Vertex AI Model Garden - #Gemini AF [F],FALSE,FALSE,
MX Large Accounts,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,Gentera,Fernando Torres,,Gentera - Vertex AI Model Garden - #Gemini Agentic Fabric [F],,"USD 250,000",Unknown,,,go/psf-request,psf-request,,Gentera - Vertex AI Model Garden - #Gemini Agentic Fabric [F],FALSE,FALSE,
MX Multi-industry & Monterrey,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,"Deacero, S.A.P.I. de C.V.",Edgar Larios,,DeAcero - Vertex AI Model Garden - #Gemini AF [F],,"USD 100,000",Customer,,,go/psf-request,psf-request,,DeAcero - Vertex AI Model Garden - #Gemini AF [F],FALSE,FALSE,
MX Multi-industry & Monterrey,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,Farmacias de Similares S.A. de C.V.,Ana Schultz,,Farmacias Similares - Vertex AI Search - #Gemini Enterprise [F],,"USD 600,000",Customer,,,go/psf-request,psf-request,,Farmacias Similares - Vertex AI Search - #Gemini Enterprise [F],TRUE,TRUE,Gemini enterprise
MX Large Accounts,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,Gentera,Fernando Torres,,Gentera - Vertex AI Model Garden - #GenMedia [F],,"USD 50,000",Unknown,,,go/psf-request,psf-request,,Gentera - Vertex AI Model Garden - #GenMedia [F],FALSE,FALSE,
MX DN,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,"Financiera Independencia S.A.B. de C.V. SOFOM, E.N.R.",Edgar Torres,,Financiera Independencia - Vertex AI Model Garden - #Gemini AF [F],,"USD 250,000",Customer,,,go/psf-request,psf-request,,Financiera Independencia - Vertex AI Model Garden - #Gemini AF [F],FALSE,FALSE,
MX Multi-industry & Monterrey,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,Alen,Miguel Caballero,,Grupo AlEn - Vertex AI Model Garden - #Gemini AF [F],,"USD 100,000",Customer,,,go/psf-request,psf-request,,Grupo AlEn - Vertex AI Model Garden - #Gemini AF [F],FALSE,FALSE,
MX Multi-industry & Monterrey,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,Alen,Miguel Caballero,,Grupo AlEn - Vertex AI Model Garden - #GenMedia [F],,"USD 50,000",Customer,,,go/psf-request,psf-request,,Grupo AlEn - Vertex AI Model Garden - #GenMedia [F],FALSE,FALSE,
MX Large Accounts,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,"El Palacio de Hierro, S.A. de C.V.",Eyleen Vasquez,,EPH - Vertex AI Search / Customer Experience - #VAIS: C [F],,"USD 400,000",Unknown,,,go/psf-request,psf-request,,El Palacio de Hierro - Vertex AI Search - #VAIS: C [F],FALSE,FALSE,
MX Multi-industry & Monterrey,Mexico,4.1: Pre Ramp / Mobilize,Build with AI,,,Compania General de Servicios,Miguel Caballero,,Grupo AlEn - Vertex AI Search - #Gemini Enterprise [F],,"USD 113,100",Customer,,,go/psf-request,psf-request,,Grupo AlEn - Vertex AI Search - #Gemini Enterprise [F],TRUE,TRUE,Gemini enterprise
MX Large Accounts,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,"Grupo Coppel, S.A. de C.V.",Ariel Hernández Alabat,,Coppel - Vertex AI Search - #Search for Commerce [F],,"USD 2,000,000",Unknown,,,go/psf-request,psf-request,,Coppel - External Agentic Search - #Commerce Search [F],FALSE,FALSE,
MX Multi-industry & Monterrey,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,Alen,Miguel Caballero,,Grupo AlEn - Vertex AI Search - #Search for Commerce [F],,"USD 100,000",Customer,,,go/psf-request,psf-request,,Grupo AlEn - Vertex AI Search - #Search for Commerce [F],FALSE,FALSE,
MX Multi-industry & Monterrey,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,"Bimbo, S.A. de C.V.",Ana Schultz,,Grupo Bimbo - Vertex AI Model Garden - #GenMedia [F],,"USD 100,000",Customer,,,go/psf-request,psf-request,,Grupo Bimbo - Vertex AI Model Garden - #GenMedia [F],FALSE,FALSE,
MX Multi-industry & Monterrey,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,Herdez,Maria Aja Kindelan,,Grupo Herdez - Vertex AI Search - #Gemini Enterprise [F],,"USD 180,000",Customer,,,go/psf-request,psf-request,,Grupo Herdez - Vertex AI Search - #Gemini Enterprise [F],TRUE,TRUE,Gemini enterprise
"MX FSI, Services & WR",Mexico,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,Interprotección Agente de Seguros y de Fianzas,Angélica Moya,,Inter - Vertex AI Model Garden,,"USD 60,000",Customer,,,go/psf-request,psf-request,,Inter - Vertex AI Search - #Gemini Enterprise [F],FALSE,TRUE,Gemini enterprise
MX DN,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,Kavak México,Nahum Novia,,Kavak - Vertex AI Model Garden - #GenMedia [F],Ray Escobar,"USD 250,000",Customer,,,go/psf-request,psf-request,,Kavak - Vertex AI Model Garden - #GenMedia [F],FALSE,FALSE,
MX Multi-industry & Monterrey,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,Mabe,Eduardo Bello,,Mabe -  Vertex AI Model Garden - #GenMedia [F],Yerish Alejandro Blancarte,"USD 100,000",Customer,,,go/psf-request,psf-request,,Mabe -  Vertex AI Model Garden - #GenMedia [F],FALSE,FALSE,
MX Multi-industry & Monterrey,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,Mabe,Eduardo Bello,,Mabe - Vertex AI Search - #Gemini Enterprise [F],Yerish Alejandro Blancarte,"USD 150,000",Customer,,12/31/2026,go/psf-request,psf-request,,Mabe - Vertex AI Search - #Gemini Enterprise [F],TRUE,TRUE,Gemini enterprise
MX DN,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Model Garden,,Plata Card,Nahum Novia,,Plata - Vertex AI Model Garden - #Gemini AF [F],,"USD 500,000",Customer,,,go/psf-request,psf-request,,Plata - Vertex AI Model Garden - #Gemini AF [F],FALSE,FALSE,
EDU PS,Chile,3:  Proposal / Negotiation,Build with AI,Cloud AI - Vertex AI Platform,,uPlanner,Lauro Garcia,,uPlanner Gemini 255k (1Y ACV),Pedro Gutiérrez,"USD 255,000",Partner,Noventiq International Chile Spa,,go/psf-request,psf-request,,uPlanner Gemini 255k (1Y ACV),FALSE,FALSE,
"MX FSI, Services & WR",Mexico,3:  Proposal / Negotiation,Build with AI,Gemini AI,,"ETN Turistar Lujo, S.A. de C.V.",Marisol Escribá,,AI call center IAMSA,,"USD 70,000",Unknown,T-Systems Mexico,,go/psf-request,psf-request,,Grupo IAMSA | ETN - Vertex AI Search - #Gemini Enterprise,FALSE,TRUE,Gemini enterprise
EDU PS,Mexico,0-2: Tech Eval/Solution Dev,,,,SkillTech,Lauro Garcia,,SkillTech Lab for UNACH 88k (1Y ACV),Marco Corral,"USD 88,000",Partner,,,go/psf-request,psf-request,,SkillTech Lab for UNACH 88k (1Y ACV),FALSE,FALSE,
"MX FSI, Services & WR",Mexico,3:  Proposal / Negotiation,Build with AI,Cloud AI - Vertex AI Platform; Gemini AI,,"Estafeta, S.A. de C.V.",Marisol Escribá,,Estafeta AI customer file validation,,"USD 70,000",Partner,,,go/psf-request,psf-request,,ETFA-134891--Solución with Doc Intelligence,FALSE,FALSE,
"MX FSI, Services & WR",Mexico,0-2: Tech Eval/Solution Dev,,,,"Inversionistas en Autotransportes Mexicanos, S.A. de C.V.",Marisol Escribá,,Workplace for IAMSA,,"USD 240,000",Unknown,,,go/psf-request,psf-request,,IAMSA Full MS replacement - #Workspace,FALSE,FALSE,
Large Accounts,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Solutions,,Nu Pagamentos S/A - INSTITUICAO DE PAGAMENTO,Carol Barnabé Maio,,Nubank OpenAI takeover,,"USD 1,500,000",Customer,,,go/psf-request,psf-request,,,FALSE,FALSE,
MCO CORP SUR,Chile,0-2: Tech Eval/Solution Dev,Build with AI,,,Fintoc SpA,Felipe Albertini,,Gemini Enterprise,,"USD 45,000",Partner,Comercializadora Zenta Group SPA,,go/psf-request,psf-request,,Gemini Enterprise Fintoc,TRUE,TRUE,Gemini enterprise
EM (PE/EC),Ecuador,3:  Proposal / Negotiation,Build with AI,,,CORPORACION EL ROSADO S.A.,Giselle Gonzalez-Olaechea Gallardo,,El Rosado - Commit - Gemini Enterprise,,"USD 420,000",Partner,,,go/psf-request,psf-request,,CORPORACION EL ROSADO Agentspace #1000 seats,TRUE,FALSE,Gemini enterprise
MX CORP,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,"Grupo Comercial Control, S.A. De C.V.",Jesus Gonzalez,,Grupo Control - Gemini Enterprise,,"USD 180,000",Unknown,,12/31/2027,go/psf-request,psf-request,,Grupo Control - Gemini Enterprise,TRUE,TRUE,Gemini enterprise
MX DN,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,Plata Card,Nahum Novia,,Plata - Vertex AI Search - #Gemini Enterprise [F],Ray Escobar,"USD 300,000",Customer,,,go/psf-request,psf-request,,Plata - Vertex AI Search - #Gemini Enterprise [F],TRUE,TRUE,Gemini enterprise
"MX FSI, Services & WR",Mexico,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,"Promoción y Operación, S.A. de C.V.",Fernando Irure,,PROSA - Vertex AI Search - #Gemini Enterprise [F],,"USD 300,000",Customer,,,go/psf-request,psf-request,,PROSA - Vertex AI Search - #Gemini Enterprise [F],TRUE,TRUE,Gemini enterprise
MX Multi-industry & Monterrey,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,Rotoplas,Maria Aja Kindelan,,Rotoplas -  Vertex AI Search - #Gemini Enterprise | Phase 2 [F],Liliana Sánchez,"USD 600,000",Customer,,,go/psf-request,psf-request,,Rotoplas -  Vertex AI Search - #Gemini Enterprise | Phase 2 [F],TRUE,TRUE,Gemini enterprise
EM (PE/EC),Ecuador,4.2: Ramping / Deliver,Build with AI,,,Tipti S.A.,Giselle Gonzalez-Olaechea Gallardo,,Bepetz - LIA VET Agent,,"USD 30,000",Customer,,,go/psf-request,psf-request,,,FALSE,FALSE,
EM (PE/EC),Ecuador,3:  Proposal / Negotiation,,,,Corporacion Favorita C.A.,Giselle Gonzalez-Olaechea Gallardo,,Tipti - Commit - Nutritech,,"USD 60,000",Customer,,,go/psf-request,psf-request,,XERTICAEC S.A./$5.6M TCV/3 YR,FALSE,FALSE,
Argentina,Argentina,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Platform,,TECPETROL S.A.,Andrés Basso,,WL Tecpetrol - Orion,Daniel Villegas,"USD 200,000",Partner,"Deloitte Consulting Group, S.C.",,"http://go/vector/0RJKf000000054aOAA - PARTNER: Deloitte Consultin... | STATUS: Approved (2026-03-26) | AMT: 12,500 | TYPE: POC/Pilot (GenAI)",Approved,POC/Pilot (GenAI),Orion Procurement agent,FALSE,FALSE,
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,,Cloud AI - Vertex AI Platform,,CAMU TECNOLOGIA LTDA,Richard Bucalem,,Camu - Claude to Gemini,,"USD 200,000",Unknown,,,go/psf-request,psf-request,,,FALSE,FALSE,
Chile,Chile,0-2: Tech Eval/Solution Dev,,,,SMU S.A.,Victoria Vecchio,,[SMU] - Ecommerce AWS data migration to BQ,Luis Gerardo Baeza,"USD 50,000",Partner,,,go/psf-request,psf-request,,SMU -  E commerce Strategy,FALSE,FALSE,
Chile,Chile,0-2: Tech Eval/Solution Dev,,,,Cencosud S.A.,Victoria Vecchio,,[Cenco] - Gemini Enterprise - CoE TI,,"USD 200,000",Partner,,,go/psf-request,psf-request,,Cencosud - Gemini Enterprise,TRUE,TRUE,Gemini enterprise
Chile,Chile,0-2: Tech Eval/Solution Dev,,,,SMU S.A.,Victoria Vecchio,,[SMU] - Agente Soporte logistico SAP Full,Luis Gerardo Baeza,"USD 60,000",Customer,,,go/psf-request,psf-request,,SMU - Despliegue Agente Logistic,FALSE,FALSE,
"MX FSI, Services & WR",Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,"Aerovías de México, S.A. de C.V.",Marisol Escribá,,Aeromexico - Vertex AI Search - #Gemini Enterprise [F],,"USD 360,000",Customer,,9/1/2026,go/psf-request,psf-request,,Aeromexico - Vertex AI Search - #Gemini Enterprise [F],TRUE,TRUE,Gemini enterprise
Brazil DN,Brazil,4.2: Ramping / Deliver,Build with AI,Cloud AI - Vertex AI Platform,,STATTUS4 CIDADES INTELIGENTES E SUSTENTABILIDADE LTDA,Henrique Pascon,,Migration,Natanael Tavares,"USD 93,475",Partner,SERVIBRASIL SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA.,,"http://go/vector/0RJKf000000GvV7OAK - PARTNER: SERVIBRASIL SOLUCO... | STATUS: Approved (2026-02-12) | AMT: 9,348 | TYPE: Consumption Planning (Infrastructure)",Approved,Consumption Planning (Infrastructure),Stattus4,FALSE,FALSE,
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,,,,By My Cell,Mickaelly Alencar,,ByMyCell M3 Quota Request,,"USD 10,000",Customer,,,go/psf-request,psf-request,,,FALSE,FALSE,
Chile,Chile,4.2: Ramping / Deliver,Build with AI,Infrastructure AI,,LATAM Airlines Group SA,Juan Pablo Buiatti,,[LATAM] - AI/ML - Data Platform & Cosmos Program - Computer Vision,Bruno Laurenti,"USD 150,000",Customer,,,go/psf-request,psf-request,,LATAM Airlines 2023 87M/3Y Recommit,FALSE,FALSE,
MCO CORP CCA,El Salvador,3:  Proposal / Negotiation,,,,Grupo Unicomer,Diana Cuevas Jurney,,Unicomer #GeminiEnterprise 4000,Israel Castillo,"USD 300,000",Unknown,,,go/psf-request,psf-request,,Unicomer Gemini enterprise FLW Q1,TRUE,TRUE,Gemini enterprise
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,,,,Madeiramadeira Comércio Eletrônico S / A,Danae Cassis,,[MM] Gemini & Vertex,Erica Orge,,Unknown,,,go/psf-request,psf-request,,[MadeiraMadeira] Agente de Vendas com Gemini,FALSE,FALSE,
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,,,,Unidasul Distribuidora Alimenticia S/A,Saulo Pereira,,UNIDASUL - CAMEYO,,"USD 25,000",Partner,,,go/psf-request,psf-request,,UNIDASUL #CAMEYO #GCP #OUT,FALSE,FALSE,
Chile,Chile,0-2: Tech Eval/Solution Dev,Build with AI,,,SMU S.A.,Victoria Vecchio,,[SMU] - GenAI for Marketing,Luis Gerardo Baeza,"USD 36,000",Partner,Deloitte Inc.,,go/psf-request,psf-request,,SMU -  E commerce Strategy,FALSE,FALSE,
Chile,Chile,0-2: Tech Eval/Solution Dev,Build with AI,,,SMU S.A.,Victoria Vecchio,,[SMU] - Catalog Enrichment,Luis Gerardo Baeza,"USD 100,000",Partner,,,go/psf-request,psf-request,,SMU -  E commerce Strategy,FALSE,FALSE,
Chile,Chile,0-2: Tech Eval/Solution Dev,Build with AI,,,SMU S.A.,Victoria Vecchio,,[SMU] - Omnichannel Agent,Luis Gerardo Baeza,"USD 60,000",Partner,,,go/psf-request,psf-request,,SMU -  E commerce Strategy,FALSE,FALSE,
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,Carajás Home Center,Roberta Coelho,,IAforFinance_Carajás,,"USD 120,000",Partner,MADEINWEB S/A,,go/psf-request,psf-request,,IAforFinance_CarajasHomeCenter,FALSE,FALSE,
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,Banco da Amazonia SA,Roberta Coelho,,GeminiEnterprise_BASA,,"USD 180,000",Partner,XERTICA BRASIL LTDA,,go/psf-request,psf-request,,Gemini Enterprise_BASA,TRUE,TRUE,Gemini enterprise
MX Multi-industry & Monterrey,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,Herdez,Maria Aja Kindelan,,Gemini Enterprise,Liliana Sánchez,"USD 800,000",PSO,,,go/psf-request,psf-request,,Grupo Herdez - Cloud Center of Excellence JumpStart,TRUE,FALSE,Gemini enterprise
Colombia,Colombia,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Model Garden,,GAS NATURAL S A E S P,Dora Buitrago Daza,,Gas Natural Hogar y commercial AI Agents,Fabian Marquez,"USD 120,000",Customer,,,go/psf-request,psf-request,,Hogar y commercial AI Agentes Conversacional,FALSE,FALSE,
Chile,Chile,0-2: Tech Eval/Solution Dev,,,,Cencosud S.A.,Victoria Vecchio,,[Cenco] - Veo for Easy,Luis Gerardo Baeza,"USD 40,000",Customer,,,go/psf-request,psf-request,,Cencosud - IA for Marketing,FALSE,FALSE,
